#: table_doi: 10.17182/hepdata.74824.v1/t191
#: name: Table 191
#: description: Spin density matrix elements for the interference between the S- and P-waves for -T.

#: data_file: Table191.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00,SP-Interference)",error +,error -
0.46499999999999997,0.46,0.47,-0.1806,0.0391,-0.0391
0.475,0.47,0.48,-0.1858,0.0385,-0.0385
0.485,0.48,0.49,-0.1873,0.037,-0.037
0.495,0.49,0.5,-0.1858,0.035,-0.035
0.505,0.5,0.51,-0.182,0.0325,-0.0325
0.515,0.51,0.52,-0.1764,0.0298,-0.0298
0.525,0.52,0.53,-0.1694,0.0271,-0.0271
0.535,0.53,0.54,-0.1616,0.0247,-0.0247
0.545,0.54,0.55,-0.1534,0.0225,-0.0225
0.555,0.55,0.56,-0.1452,0.0207,-0.0207
0.565,0.56,0.57,-0.1373,0.0194,-0.0194
0.575,0.57,0.58,-0.1301,0.0185,-0.0185
0.585,0.58,0.59,-0.1238,0.0179,-0.0179
0.595,0.59,0.6,-0.1188,0.0174,-0.0174
0.605,0.6,0.61,-0.1151,0.017,-0.017
0.615,0.61,0.62,-0.1128,0.0166,-0.0166
0.625,0.62,0.63,-0.112,0.0162,-0.0162
0.635,0.63,0.64,-0.1124,0.0157,-0.0157
0.645,0.64,0.65,-0.1139,0.0154,-0.0154
0.655,0.65,0.66,-0.1164,0.015,-0.015
0.665,0.66,0.67,-0.1195,0.0148,-0.0148
0.675,0.67,0.68,-0.1229,0.0147,-0.0147
0.685,0.68,0.69,-0.1264,0.0147,-0.0147
0.695,0.69,0.7,-0.1296,0.0147,-0.0147
0.705,0.7,0.71,-0.1323,0.0147,-0.0147
0.715,0.71,0.72,-0.1343,0.0147,-0.0147
0.725,0.72,0.73,-0.1355,0.0147,-0.0147
0.735,0.73,0.74,-0.1357,0.0147,-0.0147
0.745,0.74,0.75,-0.1347,0.0148,-0.0148
0.755,0.75,0.76,-0.1327,0.0149,-0.0149
0.765,0.76,0.77,-0.1295,0.0151,-0.0151
0.775,0.77,0.78,-0.1252,0.0154,-0.0154
0.785,0.78,0.79,-0.12,0.0158,-0.0158
0.795,0.79,0.8,-0.114,0.0165,-0.0165
0.805,0.8,0.81,-0.1074,0.0172,-0.0172
0.815,0.81,0.82,-0.1005,0.018,-0.018
0.825,0.82,0.83,-0.0935,0.0188,-0.0188
0.835,0.83,0.84,-0.0867,0.0196,-0.0196
0.845,0.84,0.85,-0.0806,0.0202,-0.0202
0.855,0.85,0.86,-0.0752,0.0207,-0.0207
0.865,0.86,0.87,-0.071,0.021,-0.021
0.875,0.87,0.88,-0.0679,0.0211,-0.0211
0.885,0.88,0.89,-0.066,0.0211,-0.0211
0.895,0.89,0.9,-0.0653,0.021,-0.021
0.905,0.9,0.91,-0.0657,0.0209,-0.0209
0.915,0.91,0.92,-0.067,0.0208,-0.0208
0.925,0.92,0.93,-0.069,0.0207,-0.0207
0.935,0.93,0.94,-0.0714,0.0207,-0.0207
0.945,0.94,0.95,-0.074,0.0209,-0.0209
0.955,0.95,0.96,-0.0768,0.0215,-0.0215
0.965,0.96,0.97,-0.0798,0.0229,-0.0229
0.975,0.97,0.98,-0.0838,0.0263,-0.0263
0.985,0.98,0.99,-0.0932,0.0338,-0.0338
0.995,0.99,1.0,-0.0927,0.0285,-0.0285
1.005,1.0,1.01,-0.0815,0.0254,-0.0254
1.0150000000000001,1.01,1.02,-0.0747,0.0251,-0.0251
1.025,1.02,1.03,-0.0695,0.0253,-0.0253
1.0350000000000001,1.03,1.04,-0.0655,0.0255,-0.0255
1.045,1.04,1.05,-0.0623,0.0256,-0.0256
1.0550000000000002,1.05,1.06,-0.0598,0.0256,-0.0256
1.065,1.06,1.07,-0.0578,0.0254,-0.0254
1.0750000000000002,1.07,1.08,-0.0561,0.025,-0.025
1.085,1.08,1.09,-0.0546,0.0246,-0.0246
1.0950000000000002,1.09,1.1,-0.0531,0.0241,-0.0241
1.105,1.1,1.11,-0.0517,0.0236,-0.0236
1.1150000000000002,1.11,1.12,-0.0501,0.0231,-0.0231
1.125,1.12,1.13,-0.0484,0.0227,-0.0227
1.1349999999999998,1.13,1.14,-0.0465,0.0223,-0.0223
1.145,1.14,1.15,-0.0444,0.0221,-0.0221
1.1549999999999998,1.15,1.16,-0.0421,0.0219,-0.0219
1.165,1.16,1.17,-0.0396,0.0217,-0.0217
1.1749999999999998,1.17,1.18,-0.0372,0.0216,-0.0216
1.185,1.18,1.19,-0.0347,0.0215,-0.0215
1.1949999999999998,1.19,1.2,-0.0325,0.0213,-0.0213
1.205,1.2,1.21,-0.0307,0.0211,-0.0211
1.2149999999999999,1.21,1.22,-0.0293,0.0209,-0.0209
1.225,1.22,1.23,-0.0286,0.0208,-0.0208
1.2349999999999999,1.23,1.24,-0.0287,0.0206,-0.0206
1.245,1.24,1.25,-0.0294,0.0207,-0.0207
1.255,1.25,1.26,-0.0307,0.0209,-0.0209
1.2650000000000001,1.26,1.27,-0.0324,0.0213,-0.0213
1.275,1.27,1.28,-0.0342,0.0221,-0.0221
1.2850000000000001,1.28,1.29,-0.0356,0.0231,-0.0231
1.295,1.29,1.3,-0.0363,0.0244,-0.0244
1.3050000000000002,1.3,1.31,-0.0362,0.0259,-0.0259
1.315,1.31,1.32,-0.0348,0.0276,-0.0276
1.3250000000000002,1.32,1.33,-0.0324,0.0295,-0.0295
1.335,1.33,1.34,-0.0288,0.0315,-0.0315
1.3450000000000002,1.34,1.35,-0.0245,0.0336,-0.0336
1.355,1.35,1.36,-0.0197,0.0358,-0.0358
1.3650000000000002,1.36,1.37,-0.015,0.0381,-0.0381
1.375,1.37,1.38,-0.0111,0.0404,-0.0404
1.3849999999999998,1.38,1.39,-0.0087,0.0427,-0.0427
1.395,1.39,1.4,-0.0083,0.0448,-0.0448

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00,SP-Interference)",error +,error -
0.405,0.4,0.41,0.0037,0.038,-0.038
0.415,0.41,0.42,-0.0325,0.0345,-0.0345
0.425,0.42,0.43,-0.0652,0.0335,-0.0335
0.435,0.43,0.44,-0.0932,0.0342,-0.0342
0.445,0.44,0.45,-0.1158,0.0355,-0.0355
0.455,0.45,0.46,-0.1329,0.0365,-0.0365
0.46499999999999997,0.46,0.47,-0.1447,0.0371,-0.0371
0.475,0.47,0.48,-0.1517,0.0368,-0.0368
0.485,0.48,0.49,-0.1543,0.0359,-0.0359
0.495,0.49,0.5,-0.1533,0.0343,-0.0343
0.505,0.5,0.51,-0.1492,0.0322,-0.0322
0.515,0.51,0.52,-0.1428,0.0299,-0.0299
0.525,0.52,0.53,-0.1347,0.0277,-0.0277
0.535,0.53,0.54,-0.1256,0.0257,-0.0257
0.545,0.54,0.55,-0.1161,0.0241,-0.0241
0.555,0.55,0.56,-0.1066,0.0232,-0.0232
0.565,0.56,0.57,-0.0979,0.0227,-0.0227
0.575,0.57,0.58,-0.0903,0.0226,-0.0226
0.585,0.58,0.59,-0.0841,0.0227,-0.0227
0.595,0.59,0.6,-0.0797,0.0227,-0.0227
0.605,0.6,0.61,-0.0771,0.0225,-0.0225
0.615,0.61,0.62,-0.0765,0.0221,-0.0221
0.625,0.62,0.63,-0.0776,0.0214,-0.0214
0.635,0.63,0.64,-0.0803,0.0206,-0.0206
0.645,0.64,0.65,-0.0844,0.0196,-0.0196
0.655,0.65,0.66,-0.0893,0.0185,-0.0185
0.665,0.66,0.67,-0.0947,0.0176,-0.0176
0.675,0.67,0.68,-0.1003,0.0167,-0.0167
0.685,0.68,0.69,-0.1056,0.016,-0.016
0.695,0.69,0.7,-0.1104,0.0155,-0.0155
0.705,0.7,0.71,-0.1143,0.0151,-0.0151
0.715,0.71,0.72,-0.1171,0.0148,-0.0148
0.725,0.72,0.73,-0.1187,0.0146,-0.0146
0.735,0.73,0.74,-0.1191,0.0144,-0.0144
0.745,0.74,0.75,-0.1181,0.0143,-0.0143
0.755,0.75,0.76,-0.1158,0.0142,-0.0142
0.765,0.76,0.77,-0.1124,0.0142,-0.0142
0.775,0.77,0.78,-0.108,0.0142,-0.0142
0.785,0.78,0.79,-0.1027,0.0143,-0.0143
0.795,0.79,0.8,-0.0968,0.0145,-0.0145
0.805,0.8,0.81,-0.0906,0.0147,-0.0147
0.815,0.81,0.82,-0.0843,0.0148,-0.0148
0.825,0.82,0.83,-0.0781,0.015,-0.015
0.835,0.83,0.84,-0.0724,0.0151,-0.0151
0.845,0.84,0.85,-0.0673,0.0152,-0.0152
0.855,0.85,0.86,-0.0631,0.0154,-0.0154
0.865,0.86,0.87,-0.0599,0.0156,-0.0156
0.875,0.87,0.88,-0.0577,0.016,-0.016
0.885,0.88,0.89,-0.0565,0.0166,-0.0166
0.895,0.89,0.9,-0.0562,0.0173,-0.0173
0.905,0.9,0.91,-0.0568,0.0182,-0.0182
0.915,0.91,0.92,-0.0579,0.0192,-0.0192
0.925,0.92,0.93,-0.0594,0.0202,-0.0202
0.935,0.93,0.94,-0.0609,0.0214,-0.0214
0.945,0.94,0.95,-0.0624,0.0226,-0.0226
0.955,0.95,0.96,-0.0635,0.0241,-0.0241
0.965,0.96,0.97,-0.0646,0.0261,-0.0261
0.975,0.97,0.98,-0.067,0.0287,-0.0287
0.985,0.98,0.99,-0.0785,0.0346,-0.0346
0.995,0.99,1.0,-0.0629,0.0304,-0.0304
1.005,1.0,1.01,-0.0519,0.0288,-0.0288
1.0150000000000001,1.01,1.02,-0.0467,0.0288,-0.0288
1.025,1.02,1.03,-0.0437,0.0291,-0.0291
1.0350000000000001,1.03,1.04,-0.042,0.0296,-0.0296
1.045,1.04,1.05,-0.0411,0.0302,-0.0302
1.0550000000000002,1.05,1.06,-0.0407,0.0308,-0.0308
1.065,1.06,1.07,-0.0406,0.0313,-0.0313
1.0750000000000002,1.07,1.08,-0.0406,0.0317,-0.0317
1.085,1.08,1.09,-0.0406,0.0321,-0.0321
1.0950000000000002,1.09,1.1,-0.0403,0.0324,-0.0324
1.105,1.1,1.11,-0.0398,0.0325,-0.0325
1.1150000000000002,1.11,1.12,-0.039,0.0326,-0.0326
1.125,1.12,1.13,-0.0377,0.0326,-0.0326
1.1349999999999998,1.13,1.14,-0.0361,0.0326,-0.0326
1.145,1.14,1.15,-0.0341,0.0325,-0.0325
1.1549999999999998,1.15,1.16,-0.0318,0.0325,-0.0325
1.165,1.16,1.17,-0.0291,0.0324,-0.0324
1.1749999999999998,1.17,1.18,-0.0263,0.0323,-0.0323
1.185,1.18,1.19,-0.0234,0.0322,-0.0322
1.1949999999999998,1.19,1.2,-0.0206,0.0321,-0.0321
1.205,1.2,1.21,-0.0181,0.032,-0.032
1.2149999999999999,1.21,1.22,-0.0161,0.032,-0.032
1.225,1.22,1.23,-0.0147,0.032,-0.032
1.2349999999999999,1.23,1.24,-0.0142,0.0322,-0.0322
1.245,1.24,1.25,-0.0145,0.0325,-0.0325
1.255,1.25,1.26,-0.0155,0.0331,-0.0331
1.2650000000000001,1.26,1.27,-0.0169,0.0339,-0.0339
1.275,1.27,1.28,-0.0186,0.035,-0.035
1.2850000000000001,1.28,1.29,-0.0201,0.0364,-0.0364
1.295,1.29,1.3,-0.0211,0.038,-0.038
1.3050000000000002,1.3,1.31,-0.0214,0.0398,-0.0398
1.315,1.31,1.32,-0.021,0.0419,-0.0419
1.3250000000000002,1.32,1.33,-0.02,0.044,-0.044
1.335,1.33,1.34,-0.0185,0.046,-0.046
1.3450000000000002,1.34,1.35,-0.017,0.0479,-0.0479
1.355,1.35,1.36,-0.0158,0.0494,-0.0494
1.3650000000000002,1.36,1.37,-0.0154,0.0505,-0.0505
1.375,1.37,1.38,-0.0162,0.0512,-0.0512
1.3849999999999998,1.38,1.39,-0.0187,0.0513,-0.0513
1.395,1.39,1.4,-0.0232,0.0513,-0.0513

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00,SP-Interference)",error +,error -
0.405,0.4,0.41,0.0364,0.034,-0.034
0.415,0.41,0.42,0.0097,0.029,-0.029
0.425,0.42,0.43,-0.0145,0.0267,-0.0267
0.435,0.43,0.44,-0.0357,0.0265,-0.0265
0.445,0.44,0.45,-0.0536,0.0272,-0.0272
0.455,0.45,0.46,-0.0682,0.0281,-0.0281
0.46499999999999997,0.46,0.47,-0.0796,0.0286,-0.0286
0.475,0.47,0.48,-0.0879,0.0287,-0.0287
0.485,0.48,0.49,-0.0934,0.0283,-0.0283
0.495,0.49,0.5,-0.0965,0.0276,-0.0276
0.505,0.5,0.51,-0.0975,0.0267,-0.0267
0.515,0.51,0.52,-0.0967,0.0259,-0.0259
0.525,0.52,0.53,-0.0946,0.0252,-0.0252
0.535,0.53,0.54,-0.0916,0.0247,-0.0247
0.545,0.54,0.55,-0.0881,0.0246,-0.0246
0.555,0.55,0.56,-0.0844,0.0248,-0.0248
0.565,0.56,0.57,-0.0809,0.0251,-0.0251
0.575,0.57,0.58,-0.078,0.0254,-0.0254
0.585,0.58,0.59,-0.0758,0.0256,-0.0256
0.595,0.59,0.6,-0.0745,0.0255,-0.0255
0.605,0.6,0.61,-0.0741,0.0251,-0.0251
0.615,0.61,0.62,-0.0748,0.0244,-0.0244
0.625,0.62,0.63,-0.0764,0.0235,-0.0235
0.635,0.63,0.64,-0.0788,0.0223,-0.0223
0.645,0.64,0.65,-0.082,0.0209,-0.0209
0.655,0.65,0.66,-0.0855,0.0195,-0.0195
0.665,0.66,0.67,-0.0894,0.018,-0.018
0.675,0.67,0.68,-0.0934,0.0167,-0.0167
0.685,0.68,0.69,-0.0971,0.0154,-0.0154
0.695,0.69,0.7,-0.1006,0.0144,-0.0144
0.705,0.7,0.71,-0.1035,0.0136,-0.0136
0.715,0.71,0.72,-0.1057,0.0131,-0.0131
0.725,0.72,0.73,-0.1071,0.0128,-0.0128
0.735,0.73,0.74,-0.1076,0.0126,-0.0126
0.745,0.74,0.75,-0.1071,0.0125,-0.0125
0.755,0.75,0.76,-0.1055,0.0124,-0.0124
0.765,0.76,0.77,-0.103,0.0123,-0.0123
0.775,0.77,0.78,-0.0995,0.0122,-0.0122
0.785,0.78,0.79,-0.0951,0.012,-0.012
0.795,0.79,0.8,-0.0901,0.012,-0.012
0.805,0.8,0.81,-0.0845,0.0121,-0.0121
0.815,0.81,0.82,-0.0786,0.0124,-0.0124
0.825,0.82,0.83,-0.0726,0.0129,-0.0129
0.835,0.83,0.84,-0.0667,0.0136,-0.0136
0.845,0.84,0.85,-0.0612,0.0145,-0.0145
0.855,0.85,0.86,-0.0563,0.0154,-0.0154
0.865,0.86,0.87,-0.0521,0.0164,-0.0164
0.875,0.87,0.88,-0.0488,0.0174,-0.0174
0.885,0.88,0.89,-0.0466,0.0184,-0.0184
0.895,0.89,0.9,-0.0455,0.0195,-0.0195
0.905,0.9,0.91,-0.0456,0.0206,-0.0206
0.915,0.91,0.92,-0.0471,0.0218,-0.0218
0.925,0.92,0.93,-0.0499,0.0231,-0.0231
0.935,0.93,0.94,-0.0541,0.0248,-0.0248
0.945,0.94,0.95,-0.0599,0.0269,-0.0269
0.955,0.95,0.96,-0.0673,0.0298,-0.0298
0.965,0.96,0.97,-0.0759,0.034,-0.034
0.975,0.97,0.98,-0.0823,0.0395,-0.0395
0.985,0.98,0.99,-0.0587,0.0448,-0.0448
0.995,0.99,1.0,-0.026,0.0442,-0.0442
1.005,1.0,1.01,-0.045,0.0365,-0.0365
1.0150000000000001,1.01,1.02,-0.0488,0.0346,-0.0346
1.025,1.02,1.03,-0.0485,0.034,-0.034
1.0350000000000001,1.03,1.04,-0.0467,0.0338,-0.0338
1.045,1.04,1.05,-0.0442,0.0338,-0.0338
1.0550000000000002,1.05,1.06,-0.0416,0.0339,-0.0339
1.065,1.06,1.07,-0.0392,0.0341,-0.0341
1.0750000000000002,1.07,1.08,-0.037,0.0342,-0.0342
1.085,1.08,1.09,-0.0351,0.0344,-0.0344
1.0950000000000002,1.09,1.1,-0.0335,0.0346,-0.0346
1.105,1.1,1.11,-0.0322,0.0347,-0.0347
1.1150000000000002,1.11,1.12,-0.0312,0.0348,-0.0348
1.125,1.12,1.13,-0.0303,0.035,-0.035
1.1349999999999998,1.13,1.14,-0.0297,0.0351,-0.0351
1.145,1.14,1.15,-0.0291,0.0352,-0.0352
1.1549999999999998,1.15,1.16,-0.0287,0.0353,-0.0353
1.165,1.16,1.17,-0.0283,0.0353,-0.0353
1.1749999999999998,1.17,1.18,-0.028,0.0354,-0.0354
1.185,1.18,1.19,-0.0276,0.0355,-0.0355
1.1949999999999998,1.19,1.2,-0.0271,0.0356,-0.0356
1.205,1.2,1.21,-0.0266,0.0358,-0.0358
1.2149999999999999,1.21,1.22,-0.026,0.0361,-0.0361
1.225,1.22,1.23,-0.0253,0.0366,-0.0366
1.2349999999999999,1.23,1.24,-0.0244,0.0372,-0.0372
1.245,1.24,1.25,-0.0233,0.0379,-0.0379
1.255,1.25,1.26,-0.0221,0.0388,-0.0388
1.2650000000000001,1.26,1.27,-0.0208,0.0398,-0.0398
1.275,1.27,1.28,-0.0194,0.0408,-0.0408
1.2850000000000001,1.28,1.29,-0.018,0.042,-0.042
1.295,1.29,1.3,-0.0165,0.0432,-0.0432
1.3050000000000002,1.3,1.31,-0.0151,0.0444,-0.0444
1.315,1.31,1.32,-0.0137,0.0458,-0.0458
1.3250000000000002,1.32,1.33,-0.0123,0.0471,-0.0471
1.335,1.33,1.34,-0.011,0.0484,-0.0484
1.3450000000000002,1.34,1.35,-0.0098,0.0495,-0.0495
1.355,1.35,1.36,-0.0089,0.0503,-0.0503
1.3650000000000002,1.36,1.37,-0.0081,0.0507,-0.0507
1.375,1.37,1.38,-0.0077,0.0508,-0.0508
1.3849999999999998,1.38,1.39,-0.0077,0.0505,-0.0505
1.395,1.39,1.4,-0.0082,0.0499,-0.0499

