#: table_doi: 10.17182/hepdata.74824.v1/t188
#: name: Table 188
#: description: Spin density matrix elements for the interference between the S- and P-waves for -T.

#: data_file: Table188.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00,SP-Interference)",error +,error -
0.815,0.81,0.82,-0.0446,0.0108,-0.0108
0.825,0.82,0.83,-0.0375,0.0107,-0.0107
0.835,0.83,0.84,-0.0309,0.0108,-0.0108
0.845,0.84,0.85,-0.0252,0.0108,-0.0108
0.855,0.85,0.86,-0.0205,0.0108,-0.0108
0.865,0.86,0.87,-0.0168,0.0109,-0.0109
0.875,0.87,0.88,-0.0144,0.0109,-0.0109
0.885,0.88,0.89,-0.0132,0.011,-0.011
0.895,0.89,0.9,-0.0134,0.0111,-0.0111
0.905,0.9,0.91,-0.0149,0.0113,-0.0113
0.915,0.91,0.92,-0.0178,0.0116,-0.0116
0.925,0.92,0.93,-0.0221,0.0119,-0.0119
0.935,0.93,0.94,-0.0279,0.0124,-0.0124
0.945,0.94,0.95,-0.0352,0.013,-0.013
0.955,0.95,0.96,-0.0442,0.0139,-0.0139
0.965,0.96,0.97,-0.0548,0.0155,-0.0155
0.975,0.97,0.98,-0.066,0.0181,-0.0181
0.985,0.98,0.99,-0.0657,0.0229,-0.0229
0.995,0.99,1.0,-0.0444,0.0192,-0.0192
1.005,1.0,1.01,-0.0519,0.0193,-0.0193
1.0150000000000001,1.01,1.02,-0.0532,0.0204,-0.0204
1.025,1.02,1.03,-0.0533,0.0214,-0.0214
1.0350000000000001,1.03,1.04,-0.0531,0.0223,-0.0223
1.045,1.04,1.05,-0.0528,0.0231,-0.0231
1.0550000000000002,1.05,1.06,-0.0525,0.0237,-0.0237
1.065,1.06,1.07,-0.0525,0.0242,-0.0242
1.0750000000000002,1.07,1.08,-0.0526,0.0246,-0.0246
1.085,1.08,1.09,-0.0529,0.025,-0.025
1.0950000000000002,1.09,1.1,-0.0532,0.0253,-0.0253
1.105,1.1,1.11,-0.0537,0.0255,-0.0255
1.1150000000000002,1.11,1.12,-0.0541,0.0257,-0.0257
1.125,1.12,1.13,-0.0544,0.0259,-0.0259
1.1349999999999998,1.13,1.14,-0.0545,0.026,-0.026
1.145,1.14,1.15,-0.0543,0.0261,-0.0261
1.1549999999999998,1.15,1.16,-0.0536,0.0261,-0.0261
1.165,1.16,1.17,-0.0524,0.0261,-0.0261
1.1749999999999998,1.17,1.18,-0.0506,0.0261,-0.0261
1.185,1.18,1.19,-0.048,0.026,-0.026
1.1949999999999998,1.19,1.2,-0.0447,0.0259,-0.0259
1.205,1.2,1.21,-0.0406,0.0258,-0.0258
1.2149999999999999,1.21,1.22,-0.0358,0.0258,-0.0258
1.225,1.22,1.23,-0.0305,0.0258,-0.0258
1.2349999999999999,1.23,1.24,-0.0247,0.026,-0.026
1.245,1.24,1.25,-0.019,0.0263,-0.0263
1.255,1.25,1.26,-0.0136,0.0267,-0.0267
1.2650000000000001,1.26,1.27,-0.0091,0.0272,-0.0272
1.275,1.27,1.28,-0.0058,0.0278,-0.0278
1.2850000000000001,1.28,1.29,-0.0039,0.0286,-0.0286
1.295,1.29,1.3,-0.0037,0.0296,-0.0296
1.3050000000000002,1.3,1.31,-0.005,0.0308,-0.0308
1.315,1.31,1.32,-0.0076,0.0321,-0.0321
1.3250000000000002,1.32,1.33,-0.0109,0.0335,-0.0335
1.335,1.33,1.34,-0.0144,0.0349,-0.0349
1.3450000000000002,1.34,1.35,-0.0178,0.0362,-0.0362
1.355,1.35,1.36,-0.0205,0.0374,-0.0374
1.3650000000000002,1.36,1.37,-0.0222,0.0383,-0.0383
1.375,1.37,1.38,-0.0229,0.039,-0.039
1.3849999999999998,1.38,1.39,-0.0223,0.0395,-0.0395
1.395,1.39,1.4,-0.0205,0.0397,-0.0397

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00,SP-Interference)",error +,error -
0.405,0.4,0.41,0.0022,0.0197,-0.0197
0.415,0.41,0.42,-0.0156,0.0204,-0.0204
0.425,0.42,0.43,-0.0319,0.0213,-0.0213
0.435,0.43,0.44,-0.0462,0.0219,-0.0219
0.445,0.44,0.45,-0.0587,0.0223,-0.0223
0.455,0.45,0.46,-0.0692,0.0224,-0.0224
0.46499999999999997,0.46,0.47,-0.0778,0.0224,-0.0224
0.475,0.47,0.48,-0.0847,0.0223,-0.0223
0.485,0.48,0.49,-0.0901,0.0222,-0.0222
0.495,0.49,0.5,-0.0941,0.0219,-0.0219
0.505,0.5,0.51,-0.0971,0.0216,-0.0216
0.515,0.51,0.52,-0.0991,0.0211,-0.0211
0.525,0.52,0.53,-0.1004,0.0203,-0.0203
0.535,0.53,0.54,-0.1011,0.0194,-0.0194
0.545,0.54,0.55,-0.1016,0.0182,-0.0182
0.555,0.55,0.56,-0.1019,0.0168,-0.0168
0.565,0.56,0.57,-0.1021,0.0153,-0.0153
0.575,0.57,0.58,-0.1024,0.0139,-0.0139
0.585,0.58,0.59,-0.1028,0.0128,-0.0128
0.595,0.59,0.6,-0.1033,0.0121,-0.0121
0.605,0.6,0.61,-0.1039,0.012,-0.012
0.615,0.61,0.62,-0.1046,0.0125,-0.0125
0.625,0.62,0.63,-0.1054,0.0134,-0.0134
0.635,0.63,0.64,-0.1061,0.0146,-0.0146
0.645,0.64,0.65,-0.1067,0.0158,-0.0158
0.655,0.65,0.66,-0.1071,0.017,-0.017
0.665,0.66,0.67,-0.1072,0.018,-0.018
0.675,0.67,0.68,-0.1068,0.0187,-0.0187
0.685,0.68,0.69,-0.106,0.0192,-0.0192
0.695,0.69,0.7,-0.1045,0.0195,-0.0195
0.705,0.7,0.71,-0.1024,0.0194,-0.0194
0.715,0.71,0.72,-0.0996,0.0191,-0.0191
0.725,0.72,0.73,-0.0961,0.0186,-0.0186
0.735,0.73,0.74,-0.0919,0.0178,-0.0178
0.745,0.74,0.75,-0.087,0.017,-0.017
0.755,0.75,0.76,-0.0815,0.016,-0.016
0.765,0.76,0.77,-0.0755,0.0151,-0.0151
0.775,0.77,0.78,-0.069,0.0143,-0.0143
0.785,0.78,0.79,-0.0623,0.0137,-0.0137
0.795,0.79,0.8,-0.0553,0.0134,-0.0134
0.805,0.8,0.81,-0.0484,0.0133,-0.0133
0.815,0.81,0.82,-0.0415,0.0134,-0.0134
0.825,0.82,0.83,-0.035,0.0138,-0.0138
0.835,0.83,0.84,-0.0289,0.0143,-0.0143
0.845,0.84,0.85,-0.0233,0.0149,-0.0149
0.855,0.85,0.86,-0.0185,0.0156,-0.0156
0.865,0.86,0.87,-0.0145,0.0162,-0.0162
0.875,0.87,0.88,-0.0114,0.0168,-0.0168
0.885,0.88,0.89,-0.0094,0.0174,-0.0174
0.895,0.89,0.9,-0.0086,0.0177,-0.0177
0.905,0.9,0.91,-0.0089,0.018,-0.018
0.915,0.91,0.92,-0.0106,0.018,-0.018
0.925,0.92,0.93,-0.0136,0.018,-0.018
0.935,0.93,0.94,-0.0181,0.0178,-0.0178
0.945,0.94,0.95,-0.0243,0.0176,-0.0176
0.955,0.95,0.96,-0.0321,0.0176,-0.0176
0.965,0.96,0.97,-0.0411,0.0182,-0.0182
0.975,0.97,0.98,-0.0491,0.0203,-0.0203
0.985,0.98,0.99,-0.0343,0.0274,-0.0274
0.995,0.99,1.0,-0.0172,0.0226,-0.0226
1.005,1.0,1.01,-0.0311,0.0226,-0.0226
1.0150000000000001,1.01,1.02,-0.033,0.0238,-0.0238
1.025,1.02,1.03,-0.0323,0.025,-0.025
1.0350000000000001,1.03,1.04,-0.0307,0.026,-0.026
1.045,1.04,1.05,-0.0288,0.0268,-0.0268
1.0550000000000002,1.05,1.06,-0.0267,0.0273,-0.0273
1.065,1.06,1.07,-0.0246,0.0278,-0.0278
1.0750000000000002,1.07,1.08,-0.0227,0.0281,-0.0281
1.085,1.08,1.09,-0.0209,0.0283,-0.0283
1.0950000000000002,1.09,1.1,-0.0195,0.0284,-0.0284
1.105,1.1,1.11,-0.0184,0.0285,-0.0285
1.1150000000000002,1.11,1.12,-0.0176,0.0285,-0.0285
1.125,1.12,1.13,-0.0173,0.0285,-0.0285
1.1349999999999998,1.13,1.14,-0.0172,0.0285,-0.0285
1.145,1.14,1.15,-0.0176,0.0284,-0.0284
1.1549999999999998,1.15,1.16,-0.0181,0.0283,-0.0283
1.165,1.16,1.17,-0.0189,0.0282,-0.0282
1.1749999999999998,1.17,1.18,-0.0197,0.0281,-0.0281
1.185,1.18,1.19,-0.0205,0.0281,-0.0281
1.1949999999999998,1.19,1.2,-0.0209,0.028,-0.028
1.205,1.2,1.21,-0.0209,0.028,-0.028
1.2149999999999999,1.21,1.22,-0.0202,0.0281,-0.0281
1.225,1.22,1.23,-0.0187,0.0283,-0.0283
1.2349999999999999,1.23,1.24,-0.0162,0.0286,-0.0286
1.245,1.24,1.25,-0.0127,0.0291,-0.0291
1.255,1.25,1.26,-0.0084,0.0296,-0.0296
1.2650000000000001,1.26,1.27,-0.0034,0.0303,-0.0303
1.275,1.27,1.28,0.0019,0.0311,-0.0311
1.2850000000000001,1.28,1.29,0.0071,0.032,-0.032
1.295,1.29,1.3,0.0116,0.033,-0.033
1.3050000000000002,1.3,1.31,0.0151,0.0343,-0.0343
1.315,1.31,1.32,0.0171,0.0357,-0.0357
1.3250000000000002,1.32,1.33,0.0174,0.0373,-0.0373
1.335,1.33,1.34,0.0158,0.0392,-0.0392
1.3450000000000002,1.34,1.35,0.0123,0.0413,-0.0413
1.355,1.35,1.36,0.0072,0.0437,-0.0437
1.3650000000000002,1.36,1.37,0.0009,0.0462,-0.0462
1.375,1.37,1.38,-0.0062,0.0488,-0.0488
1.3849999999999998,1.38,1.39,-0.0136,0.0512,-0.0512
1.395,1.39,1.4,-0.0208,0.0532,-0.0532

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00,SP-Interference)",error +,error -
0.405,0.4,0.41,-0.0014,0.0466,-0.0466
0.415,0.41,0.42,-0.016,0.0454,-0.0454
0.425,0.42,0.43,-0.03,0.044,-0.044
0.435,0.43,0.44,-0.043,0.0424,-0.0424
0.445,0.44,0.45,-0.0548,0.0408,-0.0408
0.455,0.45,0.46,-0.0651,0.0389,-0.0389
0.46499999999999997,0.46,0.47,-0.0739,0.0369,-0.0369
0.475,0.47,0.48,-0.0813,0.0348,-0.0348
0.485,0.48,0.49,-0.0871,0.0325,-0.0325
0.495,0.49,0.5,-0.0917,0.0301,-0.0301
0.505,0.5,0.51,-0.0952,0.0277,-0.0277
0.515,0.51,0.52,-0.0979,0.0253,-0.0253
0.525,0.52,0.53,-0.0998,0.023,-0.023
0.535,0.53,0.54,-0.1013,0.0209,-0.0209
0.545,0.54,0.55,-0.1025,0.019,-0.019
0.555,0.55,0.56,-0.1036,0.0175,-0.0175
0.565,0.56,0.57,-0.1047,0.0164,-0.0164
0.575,0.57,0.58,-0.1059,0.0156,-0.0156
0.585,0.58,0.59,-0.1073,0.0152,-0.0152
0.595,0.59,0.6,-0.1087,0.0151,-0.0151
0.605,0.6,0.61,-0.1103,0.0153,-0.0153
0.615,0.61,0.62,-0.112,0.0158,-0.0158
0.625,0.62,0.63,-0.1136,0.0164,-0.0164
0.635,0.63,0.64,-0.115,0.0173,-0.0173
0.645,0.64,0.65,-0.1162,0.0183,-0.0183
0.655,0.65,0.66,-0.117,0.0193,-0.0193
0.665,0.66,0.67,-0.1173,0.0203,-0.0203
0.675,0.67,0.68,-0.1169,0.0212,-0.0212
0.685,0.68,0.69,-0.1158,0.022,-0.022
0.695,0.69,0.7,-0.1139,0.0225,-0.0225
0.705,0.7,0.71,-0.1112,0.0229,-0.0229
0.715,0.71,0.72,-0.1076,0.0229,-0.0229
0.725,0.72,0.73,-0.1031,0.0226,-0.0226
0.735,0.73,0.74,-0.0979,0.0221,-0.0221
0.745,0.74,0.75,-0.0919,0.0212,-0.0212
0.755,0.75,0.76,-0.0853,0.0202,-0.0202
0.765,0.76,0.77,-0.0781,0.019,-0.019
0.775,0.77,0.78,-0.0706,0.0177,-0.0177
0.785,0.78,0.79,-0.0628,0.0164,-0.0164
0.795,0.79,0.8,-0.0549,0.0152,-0.0152
0.805,0.8,0.81,-0.0471,0.0142,-0.0142
0.815,0.81,0.82,-0.0394,0.0135,-0.0135
0.825,0.82,0.83,-0.032,0.0131,-0.0131
0.835,0.83,0.84,-0.0251,0.0132,-0.0132
0.845,0.84,0.85,-0.0186,0.0136,-0.0136
0.855,0.85,0.86,-0.0128,0.0143,-0.0143
0.865,0.86,0.87,-0.0076,0.0152,-0.0152
0.875,0.87,0.88,-0.0031,0.0162,-0.0162
0.885,0.88,0.89,0.0007,0.0172,-0.0172
0.895,0.89,0.9,0.0036,0.0183,-0.0183
0.905,0.9,0.91,0.0058,0.0192,-0.0192
0.915,0.91,0.92,0.0071,0.02,-0.02
0.925,0.92,0.93,0.0076,0.0207,-0.0207
0.935,0.93,0.94,0.0072,0.0212,-0.0212
0.945,0.94,0.95,0.0057,0.0217,-0.0217
0.955,0.95,0.96,0.003,0.0224,-0.0224
0.965,0.96,0.97,-0.0012,0.0239,-0.0239
0.975,0.97,0.98,-0.0071,0.0273,-0.0273
0.985,0.98,0.99,-0.0103,0.0383,-0.0383
0.995,0.99,1.0,-0.0017,0.0402,-0.0402
1.005,1.0,1.01,-0.0092,0.033,-0.033
1.0150000000000001,1.01,1.02,-0.0125,0.0327,-0.0327
1.025,1.02,1.03,-0.0145,0.0334,-0.0334
1.0350000000000001,1.03,1.04,-0.0159,0.0343,-0.0343
1.045,1.04,1.05,-0.0168,0.035,-0.035
1.0550000000000002,1.05,1.06,-0.0175,0.0357,-0.0357
1.065,1.06,1.07,-0.0178,0.0362,-0.0362
1.0750000000000002,1.07,1.08,-0.0179,0.0366,-0.0366
1.085,1.08,1.09,-0.0177,0.037,-0.037
1.0950000000000002,1.09,1.1,-0.0173,0.0373,-0.0373
1.105,1.1,1.11,-0.0167,0.0375,-0.0375
1.1150000000000002,1.11,1.12,-0.016,0.0376,-0.0376
1.125,1.12,1.13,-0.0151,0.0377,-0.0377
1.1349999999999998,1.13,1.14,-0.0142,0.0377,-0.0377
1.145,1.14,1.15,-0.0132,0.0376,-0.0376
1.1549999999999998,1.15,1.16,-0.0122,0.0374,-0.0374
1.165,1.16,1.17,-0.0112,0.0372,-0.0372
1.1749999999999998,1.17,1.18,-0.0104,0.0369,-0.0369
1.185,1.18,1.19,-0.0097,0.0366,-0.0366
1.1949999999999998,1.19,1.2,-0.0092,0.0362,-0.0362
1.205,1.2,1.21,-0.009,0.0359,-0.0359
1.2149999999999999,1.21,1.22,-0.0089,0.0357,-0.0357
1.225,1.22,1.23,-0.0089,0.0354,-0.0354
1.2349999999999999,1.23,1.24,-0.0088,0.0354,-0.0354
1.245,1.24,1.25,-0.0084,0.0354,-0.0354
1.255,1.25,1.26,-0.0074,0.0358,-0.0358
1.2650000000000001,1.26,1.27,-0.0057,0.0363,-0.0363
1.275,1.27,1.28,-0.0032,0.0371,-0.0371
1.2850000000000001,1.28,1.29,0.0002,0.038,-0.038
1.295,1.29,1.3,0.0045,0.0391,-0.0391
1.3050000000000002,1.3,1.31,0.0093,0.0403,-0.0403
1.315,1.31,1.32,0.0147,0.0418,-0.0418
1.3250000000000002,1.32,1.33,0.0201,0.0436,-0.0436
1.335,1.33,1.34,0.0254,0.0459,-0.0459
1.3450000000000002,1.34,1.35,0.0299,0.0485,-0.0485
1.355,1.35,1.36,0.0333,0.0515,-0.0515
1.3650000000000002,1.36,1.37,0.035,0.0546,-0.0546
1.375,1.37,1.38,0.0346,0.0575,-0.0575
1.3849999999999998,1.38,1.39,0.0318,0.0603,-0.0603
1.395,1.39,1.4,0.0266,0.0631,-0.0631

