#: table_doi: 10.17182/hepdata.74824.v1/t126
#: name: Table 126
#: description: D wave cross section for -T.

#: data_file: Table126.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.665,0.66,0.67,0.188,0.0786,-0.0786
0.675,0.67,0.68,0.1908,0.0809,-0.0809
0.685,0.68,0.69,0.1936,0.083,-0.083
0.695,0.69,0.7,0.1962,0.0851,-0.0851
0.705,0.7,0.71,0.1988,0.087,-0.087
0.715,0.71,0.72,0.2012,0.0888,-0.0888
0.725,0.72,0.73,0.2037,0.0904,-0.0904
0.735,0.73,0.74,0.206,0.0919,-0.0919
0.745,0.74,0.75,0.2084,0.0933,-0.0933
0.755,0.75,0.76,0.2107,0.0945,-0.0945
0.765,0.76,0.77,0.213,0.0956,-0.0956
0.775,0.77,0.78,0.2154,0.0965,-0.0965
0.785,0.78,0.79,0.2178,0.0973,-0.0973
0.795,0.79,0.8,0.2202,0.098,-0.098
0.805,0.8,0.81,0.2226,0.0987,-0.0987
0.815,0.81,0.82,0.2252,0.0992,-0.0992
0.825,0.82,0.83,0.2277,0.0997,-0.0997
0.835,0.83,0.84,0.2304,0.1002,-0.1002
0.845,0.84,0.85,0.2331,0.1006,-0.1006
0.855,0.85,0.86,0.2358,0.1011,-0.1011
0.865,0.86,0.87,0.2386,0.1016,-0.1016
0.875,0.87,0.88,0.2414,0.1021,-0.1021
0.885,0.88,0.89,0.2442,0.1027,-0.1027
0.895,0.89,0.9,0.247,0.1033,-0.1033
0.905,0.9,0.91,0.2498,0.104,-0.104
0.915,0.91,0.92,0.2525,0.1049,-0.1049
0.925,0.92,0.93,0.2552,0.1058,-0.1058
0.935,0.93,0.94,0.2577,0.1068,-0.1068
0.945,0.94,0.95,0.2601,0.1079,-0.1079
0.955,0.95,0.96,0.2623,0.1091,-0.1091
0.965,0.96,0.97,0.2642,0.1104,-0.1104
0.975,0.97,0.98,0.2659,0.1118,-0.1118
0.985,0.98,0.99,0.2673,0.1132,-0.1132
0.995,0.99,1.0,0.2684,0.1146,-0.1146
1.005,1.0,1.01,0.2691,0.1161,-0.1161
1.0150000000000001,1.01,1.02,0.2695,0.1177,-0.1177
1.025,1.02,1.03,0.2695,0.1192,-0.1192
1.0350000000000001,1.03,1.04,0.269,0.1207,-0.1207
1.045,1.04,1.05,0.2682,0.1223,-0.1223
1.0550000000000002,1.05,1.06,0.2671,0.1238,-0.1238
1.065,1.06,1.07,0.2656,0.1253,-0.1253
1.0750000000000002,1.07,1.08,0.264,0.1269,-0.1269
1.085,1.08,1.09,0.2624,0.1284,-0.1284
1.0950000000000002,1.09,1.1,0.2608,0.1301,-0.1301
1.105,1.1,1.11,0.2597,0.1318,-0.1318
1.1150000000000002,1.11,1.12,0.2592,0.1338,-0.1338
1.125,1.12,1.13,0.2598,0.1359,-0.1359
1.1349999999999998,1.13,1.14,0.262,0.1384,-0.1384
1.145,1.14,1.15,0.2664,0.1413,-0.1413
1.1549999999999998,1.15,1.16,0.2737,0.1447,-0.1447
1.165,1.16,1.17,0.2849,0.1486,-0.1486
1.1749999999999998,1.17,1.18,0.3008,0.1532,-0.1532
1.185,1.18,1.19,0.3227,0.1584,-0.1584
1.1949999999999998,1.19,1.2,0.3514,0.1644,-0.1644
1.205,1.2,1.21,0.3879,0.171,-0.171
1.2149999999999999,1.21,1.22,0.4324,0.1785,-0.1785
1.225,1.22,1.23,0.4844,0.187,-0.187
1.2349999999999999,1.23,1.24,0.5423,0.197,-0.197
1.245,1.24,1.25,0.6026,0.2091,-0.2091
1.255,1.25,1.26,0.6605,0.2238,-0.2238
1.2650000000000001,1.26,1.27,0.7101,0.2412,-0.2412
1.275,1.27,1.28,0.7457,0.2606,-0.2606
1.2850000000000001,1.28,1.29,0.7631,0.2806,-0.2806
1.295,1.29,1.3,0.7606,0.2994,-0.2994
1.3050000000000002,1.3,1.31,0.7394,0.3152,-0.3152
1.315,1.31,1.32,0.7027,0.327,-0.327
1.3250000000000002,1.32,1.33,0.6552,0.3342,-0.3342
1.335,1.33,1.34,0.6019,0.3371,-0.3371
1.3450000000000002,1.34,1.35,0.5474,0.3363,-0.3363
1.355,1.35,1.36,0.4954,0.3329,-0.3329
1.3650000000000002,1.36,1.37,0.4492,0.3282,-0.3282
1.375,1.37,1.38,0.4111,0.3237,-0.3237
1.3849999999999998,1.38,1.39,0.3832,0.321,-0.321
1.395,1.39,1.4,0.3672,0.3221,-0.3221

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1113,0.0405,-0.0405
0.415,0.41,0.42,0.1125,0.0401,-0.0401
0.425,0.42,0.43,0.1143,0.0398,-0.0398
0.435,0.43,0.44,0.1166,0.0396,-0.0396
0.445,0.44,0.45,0.1194,0.0397,-0.0397
0.455,0.45,0.46,0.1225,0.04,-0.04
0.46499999999999997,0.46,0.47,0.1259,0.0408,-0.0408
0.475,0.47,0.48,0.1296,0.042,-0.042
0.485,0.48,0.49,0.1333,0.0436,-0.0436
0.495,0.49,0.5,0.1372,0.0456,-0.0456
0.505,0.5,0.51,0.1411,0.0479,-0.0479
0.515,0.51,0.52,0.1451,0.0505,-0.0505
0.525,0.52,0.53,0.149,0.0533,-0.0533
0.535,0.53,0.54,0.1529,0.0562,-0.0562
0.545,0.54,0.55,0.1567,0.0592,-0.0592
0.555,0.55,0.56,0.1604,0.0621,-0.0621
0.565,0.56,0.57,0.164,0.0651,-0.0651
0.575,0.57,0.58,0.1675,0.0679,-0.0679
0.585,0.58,0.59,0.1708,0.0707,-0.0707
0.595,0.59,0.6,0.174,0.0733,-0.0733
0.605,0.6,0.61,0.1771,0.0757,-0.0757
0.615,0.61,0.62,0.18,0.078,-0.078
0.625,0.62,0.63,0.1828,0.0801,-0.0801
0.635,0.63,0.64,0.1855,0.082,-0.082
0.645,0.64,0.65,0.1881,0.0836,-0.0836
0.655,0.65,0.66,0.1906,0.0851,-0.0851
0.665,0.66,0.67,0.193,0.0864,-0.0864
0.675,0.67,0.68,0.1953,0.0875,-0.0875
0.685,0.68,0.69,0.1975,0.0885,-0.0885
0.695,0.69,0.7,0.1998,0.0893,-0.0893
0.705,0.7,0.71,0.2019,0.09,-0.09
0.715,0.71,0.72,0.2041,0.0906,-0.0906
0.725,0.72,0.73,0.2063,0.0911,-0.0911
0.735,0.73,0.74,0.2085,0.0916,-0.0916
0.745,0.74,0.75,0.2108,0.0922,-0.0922
0.755,0.75,0.76,0.2131,0.0927,-0.0927
0.765,0.76,0.77,0.2155,0.0934,-0.0934
0.775,0.77,0.78,0.218,0.0943,-0.0943
0.785,0.78,0.79,0.2206,0.0953,-0.0953
0.795,0.79,0.8,0.2233,0.0965,-0.0965
0.805,0.8,0.81,0.2261,0.0981,-0.0981
0.815,0.81,0.82,0.229,0.0999,-0.0999
0.825,0.82,0.83,0.2321,0.1021,-0.1021
0.835,0.83,0.84,0.2352,0.1046,-0.1046
0.845,0.84,0.85,0.2385,0.1075,-0.1075
0.855,0.85,0.86,0.2419,0.1107,-0.1107
0.865,0.86,0.87,0.2453,0.1142,-0.1142
0.875,0.87,0.88,0.2489,0.1181,-0.1181
0.885,0.88,0.89,0.2525,0.1223,-0.1223
0.895,0.89,0.9,0.2562,0.1267,-0.1267
0.905,0.9,0.91,0.2599,0.1313,-0.1313
0.915,0.91,0.92,0.2635,0.1361,-0.1361
0.925,0.92,0.93,0.2672,0.141,-0.141
0.935,0.93,0.94,0.2707,0.1459,-0.1459
0.945,0.94,0.95,0.2742,0.1509,-0.1509
0.955,0.95,0.96,0.2775,0.1558,-0.1558
0.965,0.96,0.97,0.2806,0.1606,-0.1606
0.975,0.97,0.98,0.2835,0.1653,-0.1653
0.985,0.98,0.99,0.2861,0.1698,-0.1698
0.995,0.99,1.0,0.2884,0.1739,-0.1739
1.005,1.0,1.01,0.2904,0.1778,-0.1778
1.0150000000000001,1.01,1.02,0.292,0.1813,-0.1813
1.025,1.02,1.03,0.2932,0.1844,-0.1844
1.0350000000000001,1.03,1.04,0.294,0.1871,-0.1871
1.045,1.04,1.05,0.2943,0.1893,-0.1893
1.0550000000000002,1.05,1.06,0.2943,0.191,-0.191
1.065,1.06,1.07,0.2938,0.1922,-0.1922
1.0750000000000002,1.07,1.08,0.293,0.1929,-0.1929
1.085,1.08,1.09,0.2919,0.1931,-0.1931
1.0950000000000002,1.09,1.1,0.2906,0.1929,-0.1929
1.105,1.1,1.11,0.2893,0.1924,-0.1924
1.1150000000000002,1.11,1.12,0.2882,0.1915,-0.1915
1.125,1.12,1.13,0.2874,0.1905,-0.1905
1.1349999999999998,1.13,1.14,0.2874,0.1895,-0.1895
1.145,1.14,1.15,0.2885,0.1886,-0.1886
1.1549999999999998,1.15,1.16,0.2913,0.1879,-0.1879
1.165,1.16,1.17,0.2962,0.1877,-0.1877
1.1749999999999998,1.17,1.18,0.3041,0.1881,-0.1881
1.185,1.18,1.19,0.3156,0.189,-0.189
1.1949999999999998,1.19,1.2,0.3314,0.1906,-0.1906
1.205,1.2,1.21,0.3522,0.1927,-0.1927
1.2149999999999999,1.21,1.22,0.3781,0.1953,-0.1953
1.225,1.22,1.23,0.4089,0.1986,-0.1986
1.2349999999999999,1.23,1.24,0.4436,0.2029,-0.2029
1.245,1.24,1.25,0.4798,0.209,-0.209
1.255,1.25,1.26,0.5143,0.2176,-0.2176
1.2650000000000001,1.26,1.27,0.5432,0.2289,-0.2289
1.275,1.27,1.28,0.5625,0.242,-0.242
1.2850000000000001,1.28,1.29,0.5694,0.2554,-0.2554
1.295,1.29,1.3,0.5625,0.2668,-0.2668
1.3050000000000002,1.3,1.31,0.5426,0.2747,-0.2747
1.315,1.31,1.32,0.5118,0.278,-0.278
1.3250000000000002,1.32,1.33,0.4734,0.2767,-0.2767
1.335,1.33,1.34,0.4306,0.2715,-0.2715
1.3450000000000002,1.34,1.35,0.3867,0.2633,-0.2633
1.355,1.35,1.36,0.3442,0.2532,-0.2532
1.3650000000000002,1.36,1.37,0.3054,0.2425,-0.2425
1.375,1.37,1.38,0.272,0.2322,-0.2322
1.3849999999999998,1.38,1.39,0.2455,0.2232,-0.2232
1.395,1.39,1.4,0.2272,0.2166,-0.2166

