#: table_doi: 10.17182/hepdata.74824.v1/t139
#: name: Table 139
#: description: Dp wave cross section for -T.

#: data_file: Table139.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
1.025,1.02,1.03,0.8971,0.4565,-0.4565
1.0350000000000001,1.03,1.04,0.8997,0.4543,-0.4543
1.045,1.04,1.05,0.901,0.4518,-0.4518
1.0550000000000002,1.05,1.06,0.9011,0.4488,-0.4488
1.065,1.06,1.07,0.9,0.4454,-0.4454
1.0750000000000002,1.07,1.08,0.8978,0.4415,-0.4415
1.085,1.08,1.09,0.8944,0.4372,-0.4372
1.0950000000000002,1.09,1.1,0.89,0.4323,-0.4323
1.105,1.1,1.11,0.8847,0.4269,-0.4269
1.1150000000000002,1.11,1.12,0.8787,0.4208,-0.4208
1.125,1.12,1.13,0.8722,0.4142,-0.4142
1.1349999999999998,1.13,1.14,0.8654,0.4068,-0.4068
1.145,1.14,1.15,0.8587,0.3987,-0.3987
1.1549999999999998,1.15,1.16,0.8524,0.39,-0.39
1.165,1.16,1.17,0.847,0.3805,-0.3805
1.1749999999999998,1.17,1.18,0.8431,0.3705,-0.3705
1.185,1.18,1.19,0.841,0.3601,-0.3601
1.1949999999999998,1.19,1.2,0.8415,0.3497,-0.3497
1.205,1.2,1.21,0.8448,0.3396,-0.3396
1.2149999999999999,1.21,1.22,0.851,0.3307,-0.3307
1.225,1.22,1.23,0.8599,0.3235,-0.3235
1.2349999999999999,1.23,1.24,0.8704,0.3188,-0.3188
1.245,1.24,1.25,0.8807,0.3172,-0.3172
1.255,1.25,1.26,0.8883,0.3185,-0.3185
1.2650000000000001,1.26,1.27,0.8904,0.3226,-0.3226
1.275,1.27,1.28,0.884,0.3286,-0.3286
1.2850000000000001,1.28,1.29,0.8672,0.3358,-0.3358
1.295,1.29,1.3,0.8396,0.3435,-0.3435
1.3050000000000002,1.3,1.31,0.8021,0.3512,-0.3512
1.315,1.31,1.32,0.7567,0.3583,-0.3583
1.3250000000000002,1.32,1.33,0.7061,0.3642,-0.3642
1.335,1.33,1.34,0.6531,0.3686,-0.3686
1.3450000000000002,1.34,1.35,0.6002,0.3711,-0.3711
1.355,1.35,1.36,0.5495,0.3714,-0.3714
1.3650000000000002,1.36,1.37,0.5028,0.3697,-0.3697
1.375,1.37,1.38,0.4615,0.3661,-0.3661
1.3849999999999998,1.38,1.39,0.4268,0.3611,-0.3611
1.395,1.39,1.4,0.3998,0.3557,-0.3557

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1424,0.046,-0.046
0.415,0.41,0.42,0.14,0.0413,-0.0413
0.425,0.42,0.43,0.1394,0.0396,-0.0396
0.435,0.43,0.44,0.1406,0.041,-0.041
0.445,0.44,0.45,0.1435,0.0453,-0.0453
0.455,0.45,0.46,0.1479,0.0519,-0.0519
0.46499999999999997,0.46,0.47,0.1536,0.0602,-0.0602
0.475,0.47,0.48,0.1606,0.0697,-0.0697
0.485,0.48,0.49,0.1687,0.0801,-0.0801
0.495,0.49,0.5,0.1779,0.0911,-0.0911
0.505,0.5,0.51,0.1878,0.1026,-0.1026
0.515,0.51,0.52,0.1985,0.1143,-0.1143
0.525,0.52,0.53,0.2099,0.1261,-0.1261
0.535,0.53,0.54,0.2217,0.1378,-0.1378
0.545,0.54,0.55,0.234,0.1494,-0.1494
0.555,0.55,0.56,0.2465,0.1606,-0.1606
0.565,0.56,0.57,0.2592,0.1713,-0.1713
0.575,0.57,0.58,0.272,0.1815,-0.1815
0.585,0.58,0.59,0.2848,0.1911,-0.1911
0.595,0.59,0.6,0.2975,0.1998,-0.1998
0.605,0.6,0.61,0.31,0.2078,-0.2078
0.615,0.61,0.62,0.3223,0.2148,-0.2148
0.625,0.62,0.63,0.3343,0.221,-0.221
0.635,0.63,0.64,0.3458,0.2261,-0.2261
0.645,0.64,0.65,0.3569,0.2303,-0.2303
0.655,0.65,0.66,0.3676,0.2334,-0.2334
0.665,0.66,0.67,0.3776,0.2356,-0.2356
0.675,0.67,0.68,0.3872,0.2368,-0.2368
0.685,0.68,0.69,0.3961,0.2372,-0.2372
0.695,0.69,0.7,0.4044,0.2368,-0.2368
0.705,0.7,0.71,0.4121,0.2356,-0.2356
0.715,0.71,0.72,0.4192,0.2338,-0.2338
0.725,0.72,0.73,0.4256,0.2316,-0.2316
0.735,0.73,0.74,0.4314,0.2291,-0.2291
0.745,0.74,0.75,0.4366,0.2265,-0.2265
0.755,0.75,0.76,0.4412,0.2239,-0.2239
0.765,0.76,0.77,0.4452,0.2217,-0.2217
0.775,0.77,0.78,0.4487,0.2199,-0.2199
0.785,0.78,0.79,0.4517,0.2188,-0.2188
0.795,0.79,0.8,0.4542,0.2185,-0.2185
0.805,0.8,0.81,0.4563,0.2193,-0.2193
0.815,0.81,0.82,0.458,0.2212,-0.2212
0.825,0.82,0.83,0.4594,0.2243,-0.2243
0.835,0.83,0.84,0.4605,0.2285,-0.2285
0.845,0.84,0.85,0.4614,0.2339,-0.2339
0.855,0.85,0.86,0.4621,0.2402,-0.2402
0.865,0.86,0.87,0.4627,0.2475,-0.2475
0.875,0.87,0.88,0.4632,0.2555,-0.2555
0.885,0.88,0.89,0.4637,0.2639,-0.2639
0.895,0.89,0.9,0.4643,0.2727,-0.2727
0.905,0.9,0.91,0.465,0.2817,-0.2817
0.915,0.91,0.92,0.4658,0.2905,-0.2905
0.925,0.92,0.93,0.4668,0.2992,-0.2992
0.935,0.93,0.94,0.468,0.3074,-0.3074
0.945,0.94,0.95,0.4696,0.3149,-0.3149
0.955,0.95,0.96,0.4715,0.3218,-0.3218
0.965,0.96,0.97,0.4738,0.3277,-0.3277
0.975,0.97,0.98,0.4766,0.3326,-0.3326
0.985,0.98,0.99,0.4799,0.3364,-0.3364
0.995,0.99,1.0,0.4837,0.3389,-0.3389
1.005,1.0,1.01,0.4881,0.34,-0.34
1.0150000000000001,1.01,1.02,0.4932,0.3396,-0.3396
1.025,1.02,1.03,0.499,0.3377,-0.3377
1.0350000000000001,1.03,1.04,0.5056,0.3341,-0.3341
1.045,1.04,1.05,0.5131,0.3288,-0.3288
1.0550000000000002,1.05,1.06,0.5215,0.3218,-0.3218
1.065,1.06,1.07,0.531,0.3131,-0.3131
1.0750000000000002,1.07,1.08,0.5417,0.3026,-0.3026
1.085,1.08,1.09,0.5537,0.2904,-0.2904
1.0950000000000002,1.09,1.1,0.5672,0.2769,-0.2769
1.105,1.1,1.11,0.5824,0.2623,-0.2623
1.1150000000000002,1.11,1.12,0.5995,0.2475,-0.2475
1.125,1.12,1.13,0.6186,0.2335,-0.2335
1.1349999999999998,1.13,1.14,0.6402,0.2224,-0.2224
1.145,1.14,1.15,0.6644,0.2168,-0.2168
1.1549999999999998,1.15,1.16,0.6915,0.2201,-0.2201
1.165,1.16,1.17,0.7218,0.2351,-0.2351
1.1749999999999998,1.17,1.18,0.7554,0.2633,-0.2633
1.185,1.18,1.19,0.7923,0.3042,-0.3042
1.1949999999999998,1.19,1.2,0.8321,0.3561,-0.3561
1.205,1.2,1.21,0.874,0.4165,-0.4165
1.2149999999999999,1.21,1.22,0.9165,0.482,-0.482
1.225,1.22,1.23,0.9574,0.5485,-0.5485
1.2349999999999999,1.23,1.24,0.9934,0.6111,-0.6111
1.245,1.24,1.25,1.0207,0.6637,-0.6637
1.255,1.25,1.26,1.035,0.7005,-0.7005
1.2650000000000001,1.26,1.27,1.0329,0.7167,-0.7167
1.275,1.27,1.28,1.0124,0.7097,-0.7097
1.2850000000000001,1.28,1.29,0.974,0.6807,-0.6807
1.295,1.29,1.3,0.9204,0.6337,-0.6337
1.3050000000000002,1.3,1.31,0.8558,0.5752,-0.5752
1.315,1.31,1.32,0.7854,0.5126,-0.5126
1.3250000000000002,1.32,1.33,0.7138,0.4527,-0.4527
1.335,1.33,1.34,0.6447,0.4008,-0.4008
1.3450000000000002,1.34,1.35,0.5806,0.3604,-0.3604
1.355,1.35,1.36,0.5234,0.333,-0.333
1.3650000000000002,1.36,1.37,0.4739,0.318,-0.318
1.375,1.37,1.38,0.4326,0.3136,-0.3136
1.3849999999999998,1.38,1.39,0.3998,0.3176,-0.3176
1.395,1.39,1.4,0.3755,0.3278,-0.3278

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1037,0.0558,-0.0558
0.415,0.41,0.42,0.0968,0.0499,-0.0499
0.425,0.42,0.43,0.0915,0.0447,-0.0447
0.435,0.43,0.44,0.0876,0.0407,-0.0407
0.445,0.44,0.45,0.0851,0.0381,-0.0381
0.455,0.45,0.46,0.084,0.0374,-0.0374
0.46499999999999997,0.46,0.47,0.084,0.0386,-0.0386
0.475,0.47,0.48,0.0852,0.0417,-0.0417
0.485,0.48,0.49,0.0875,0.0463,-0.0463
0.495,0.49,0.5,0.0908,0.0521,-0.0521
0.505,0.5,0.51,0.0951,0.0586,-0.0586
0.515,0.51,0.52,0.1002,0.0658,-0.0658
0.525,0.52,0.53,0.1061,0.0732,-0.0732
0.535,0.53,0.54,0.1128,0.0809,-0.0809
0.545,0.54,0.55,0.1201,0.0886,-0.0886
0.555,0.55,0.56,0.128,0.0963,-0.0963
0.565,0.56,0.57,0.1364,0.1039,-0.1039
0.575,0.57,0.58,0.1453,0.1113,-0.1113
0.585,0.58,0.59,0.1546,0.1185,-0.1185
0.595,0.59,0.6,0.1642,0.1253,-0.1253
0.605,0.6,0.61,0.1741,0.1319,-0.1319
0.615,0.61,0.62,0.1841,0.138,-0.138
0.625,0.62,0.63,0.1944,0.1437,-0.1437
0.635,0.63,0.64,0.2047,0.1489,-0.1489
0.645,0.64,0.65,0.2151,0.1537,-0.1537
0.655,0.65,0.66,0.2254,0.158,-0.158
0.665,0.66,0.67,0.2357,0.1618,-0.1618
0.675,0.67,0.68,0.2458,0.165,-0.165
0.685,0.68,0.69,0.2558,0.1677,-0.1677
0.695,0.69,0.7,0.2655,0.1699,-0.1699
0.705,0.7,0.71,0.275,0.1716,-0.1716
0.715,0.71,0.72,0.2842,0.1727,-0.1727
0.725,0.72,0.73,0.293,0.1734,-0.1734
0.735,0.73,0.74,0.3014,0.1736,-0.1736
0.745,0.74,0.75,0.3095,0.1734,-0.1734
0.755,0.75,0.76,0.317,0.1727,-0.1727
0.765,0.76,0.77,0.324,0.1717,-0.1717
0.775,0.77,0.78,0.3306,0.1704,-0.1704
0.785,0.78,0.79,0.3366,0.1689,-0.1689
0.795,0.79,0.8,0.342,0.1671,-0.1671
0.805,0.8,0.81,0.3468,0.1652,-0.1652
0.815,0.81,0.82,0.351,0.1633,-0.1633
0.825,0.82,0.83,0.3546,0.1614,-0.1614
0.835,0.83,0.84,0.3575,0.1595,-0.1595
0.845,0.84,0.85,0.3597,0.1578,-0.1578
0.855,0.85,0.86,0.3613,0.1564,-0.1564
0.865,0.86,0.87,0.3623,0.1552,-0.1552
0.875,0.87,0.88,0.3625,0.1544,-0.1544
0.885,0.88,0.89,0.3621,0.154,-0.154
0.895,0.89,0.9,0.3609,0.154,-0.154
0.905,0.9,0.91,0.3591,0.1545,-0.1545
0.915,0.91,0.92,0.3567,0.1554,-0.1554
0.925,0.92,0.93,0.3536,0.1568,-0.1568
0.935,0.93,0.94,0.3498,0.1587,-0.1587
0.945,0.94,0.95,0.3455,0.1609,-0.1609
0.955,0.95,0.96,0.3406,0.1634,-0.1634
0.965,0.96,0.97,0.3351,0.1662,-0.1662
0.975,0.97,0.98,0.3291,0.1692,-0.1692
0.985,0.98,0.99,0.3227,0.1723,-0.1723
0.995,0.99,1.0,0.3159,0.1755,-0.1755
1.005,1.0,1.01,0.3087,0.1787,-0.1787
1.0150000000000001,1.01,1.02,0.3014,0.1818,-0.1818
1.025,1.02,1.03,0.2939,0.1848,-0.1848
1.0350000000000001,1.03,1.04,0.2864,0.1876,-0.1876
1.045,1.04,1.05,0.2791,0.1904,-0.1904
1.0550000000000002,1.05,1.06,0.272,0.1929,-0.1929
1.065,1.06,1.07,0.2655,0.1953,-0.1953
1.0750000000000002,1.07,1.08,0.2597,0.1977,-0.1977
1.085,1.08,1.09,0.2549,0.2001,-0.2001
1.0950000000000002,1.09,1.1,0.2514,0.2026,-0.2026
1.105,1.1,1.11,0.2496,0.2055,-0.2055
1.1150000000000002,1.11,1.12,0.25,0.2088,-0.2088
1.125,1.12,1.13,0.2529,0.2128,-0.2128
1.1349999999999998,1.13,1.14,0.2589,0.2177,-0.2177
1.145,1.14,1.15,0.2687,0.2238,-0.2238
1.1549999999999998,1.15,1.16,0.2828,0.2314,-0.2314
1.165,1.16,1.17,0.3021,0.2407,-0.2407
1.1749999999999998,1.17,1.18,0.327,0.2518,-0.2518
1.185,1.18,1.19,0.3581,0.2647,-0.2647
1.1949999999999998,1.19,1.2,0.3956,0.2791,-0.2791
1.205,1.2,1.21,0.4393,0.2945,-0.2945
1.2149999999999999,1.21,1.22,0.4879,0.3105,-0.3105
1.225,1.22,1.23,0.5395,0.3263,-0.3263
1.2349999999999999,1.23,1.24,0.5905,0.3413,-0.3413
1.245,1.24,1.25,0.6364,0.3549,-0.3549
1.255,1.25,1.26,0.6716,0.3668,-0.3668
1.2650000000000001,1.26,1.27,0.6908,0.3767,-0.3767
1.275,1.27,1.28,0.6903,0.3841,-0.3841
1.2850000000000001,1.28,1.29,0.6689,0.3884,-0.3884
1.295,1.29,1.3,0.6284,0.3887,-0.3887
1.3050000000000002,1.3,1.31,0.5732,0.3844,-0.3844
1.315,1.31,1.32,0.5091,0.3749,-0.3749
1.3250000000000002,1.32,1.33,0.442,0.3605,-0.3605
1.335,1.33,1.34,0.377,0.3421,-0.3421
1.3450000000000002,1.34,1.35,0.3183,0.3211,-0.3211
1.355,1.35,1.36,0.2685,0.2997,-0.2997
1.3650000000000002,1.36,1.37,0.2297,0.2806,-0.2806
1.375,1.37,1.38,0.2031,0.2668,-0.2668
1.3849999999999998,1.38,1.39,0.1894,0.2616,-0.2616
1.395,1.39,1.4,0.189,0.2679,-0.2679

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1414,0.1071,-0.1071
0.415,0.41,0.42,0.1259,0.0931,-0.0931
0.425,0.42,0.43,0.1133,0.0812,-0.0812
0.435,0.43,0.44,0.1035,0.0716,-0.0716
0.445,0.44,0.45,0.0964,0.0643,-0.0643
0.455,0.45,0.46,0.0918,0.0595,-0.0595
0.46499999999999997,0.46,0.47,0.0896,0.0575,-0.0575
0.475,0.47,0.48,0.0896,0.058,-0.058
0.485,0.48,0.49,0.0916,0.061,-0.061
0.495,0.49,0.5,0.0956,0.0661,-0.0661
0.505,0.5,0.51,0.1013,0.0727,-0.0727
0.515,0.51,0.52,0.1086,0.0806,-0.0806
0.525,0.52,0.53,0.1174,0.0895,-0.0895
0.535,0.53,0.54,0.1275,0.0991,-0.0991
0.545,0.54,0.55,0.1388,0.1091,-0.1091
0.555,0.55,0.56,0.1511,0.1193,-0.1193
0.565,0.56,0.57,0.1643,0.1295,-0.1295
0.575,0.57,0.58,0.1783,0.1395,-0.1395
0.585,0.58,0.59,0.193,0.1493,-0.1493
0.595,0.59,0.6,0.2082,0.1587,-0.1587
0.605,0.6,0.61,0.2238,0.1676,-0.1676
0.615,0.61,0.62,0.2397,0.176,-0.176
0.625,0.62,0.63,0.2559,0.1839,-0.1839
0.635,0.63,0.64,0.2721,0.1911,-0.1911
0.645,0.64,0.65,0.2884,0.1976,-0.1976
0.655,0.65,0.66,0.3045,0.2034,-0.2034
0.665,0.66,0.67,0.3206,0.2085,-0.2085
0.675,0.67,0.68,0.3364,0.2129,-0.2129
0.685,0.68,0.69,0.3519,0.2165,-0.2165
0.695,0.69,0.7,0.367,0.2195,-0.2195
0.705,0.7,0.71,0.3817,0.2217,-0.2217
0.715,0.71,0.72,0.3959,0.2232,-0.2232
0.725,0.72,0.73,0.4096,0.2242,-0.2242
0.735,0.73,0.74,0.4228,0.2245,-0.2245
0.745,0.74,0.75,0.4353,0.2243,-0.2243
0.755,0.75,0.76,0.4473,0.2236,-0.2236
0.765,0.76,0.77,0.4585,0.2226,-0.2226
0.775,0.77,0.78,0.4692,0.2211,-0.2211
0.785,0.78,0.79,0.4791,0.2194,-0.2194
0.795,0.79,0.8,0.4884,0.2175,-0.2175
0.805,0.8,0.81,0.4969,0.2155,-0.2155
0.815,0.81,0.82,0.5048,0.2135,-0.2135
0.825,0.82,0.83,0.512,0.2114,-0.2114
0.835,0.83,0.84,0.5184,0.2094,-0.2094
0.845,0.84,0.85,0.5242,0.2076,-0.2076
0.855,0.85,0.86,0.5293,0.2059,-0.2059
0.865,0.86,0.87,0.5336,0.2045,-0.2045
0.875,0.87,0.88,0.5374,0.2033,-0.2033
0.885,0.88,0.89,0.5404,0.2023,-0.2023
0.895,0.89,0.9,0.5428,0.2016,-0.2016
0.905,0.9,0.91,0.5445,0.2012,-0.2012
0.915,0.91,0.92,0.5456,0.2009,-0.2009
0.925,0.92,0.93,0.546,0.2009,-0.2009
0.935,0.93,0.94,0.5458,0.2011,-0.2011
0.945,0.94,0.95,0.545,0.2013,-0.2013
0.955,0.95,0.96,0.5436,0.2017,-0.2017
0.965,0.96,0.97,0.5416,0.2022,-0.2022
0.975,0.97,0.98,0.539,0.2027,-0.2027
0.985,0.98,0.99,0.5359,0.2032,-0.2032
0.995,0.99,1.0,0.5322,0.2037,-0.2037
1.005,1.0,1.01,0.5281,0.2042,-0.2042
1.0150000000000001,1.01,1.02,0.5234,0.2047,-0.2047
1.025,1.02,1.03,0.5183,0.2052,-0.2052
1.0350000000000001,1.03,1.04,0.5128,0.2058,-0.2058
1.045,1.04,1.05,0.507,0.2065,-0.2065
1.0550000000000002,1.05,1.06,0.501,0.2073,-0.2073
1.065,1.06,1.07,0.4949,0.2084,-0.2084
1.0750000000000002,1.07,1.08,0.4888,0.2098,-0.2098
1.085,1.08,1.09,0.4829,0.2115,-0.2115
1.0950000000000002,1.09,1.1,0.4774,0.2138,-0.2138
1.105,1.1,1.11,0.4726,0.2167,-0.2167
1.1150000000000002,1.11,1.12,0.4687,0.2203,-0.2203
1.125,1.12,1.13,0.4662,0.2248,-0.2248
1.1349999999999998,1.13,1.14,0.4655,0.2302,-0.2302
1.145,1.14,1.15,0.4671,0.2367,-0.2367
1.1549999999999998,1.15,1.16,0.4716,0.2441,-0.2441
1.165,1.16,1.17,0.4798,0.2526,-0.2526
1.1749999999999998,1.17,1.18,0.4923,0.2621,-0.2621
1.185,1.18,1.19,0.5097,0.2725,-0.2725
1.1949999999999998,1.19,1.2,0.5326,0.2836,-0.2836
1.205,1.2,1.21,0.5613,0.2953,-0.2953
1.2149999999999999,1.21,1.22,0.5953,0.3075,-0.3075
1.225,1.22,1.23,0.6336,0.3203,-0.3203
1.2349999999999999,1.23,1.24,0.6738,0.3337,-0.3337
1.245,1.24,1.25,0.7124,0.3481,-0.3481
1.255,1.25,1.26,0.7448,0.3635,-0.3635
1.2650000000000001,1.26,1.27,0.7664,0.3796,-0.3796
1.275,1.27,1.28,0.7728,0.3953,-0.3953
1.2850000000000001,1.28,1.29,0.762,0.409,-0.409
1.295,1.29,1.3,0.734,0.4189,-0.4189
1.3050000000000002,1.3,1.31,0.6915,0.4239,-0.4239
1.315,1.31,1.32,0.6386,0.4236,-0.4236
1.3250000000000002,1.32,1.33,0.5802,0.4189,-0.4189
1.335,1.33,1.34,0.5207,0.4112,-0.4112
1.3450000000000002,1.34,1.35,0.4641,0.4023,-0.4023
1.355,1.35,1.36,0.4136,0.3944,-0.3944
1.3650000000000002,1.36,1.37,0.3716,0.3895,-0.3895
1.375,1.37,1.38,0.3399,0.3893,-0.3893
1.3849999999999998,1.38,1.39,0.3198,0.3953,-0.3953
1.395,1.39,1.4,0.3128,0.4079,-0.4079

